Study_area,term,term_type,frac,ax1,ax2,tier
Arrowsmith and Dandaragan Plateau (Perth Basin),c20_treatment x c30_treatment,interaction,-9.2108359339459e-18,c20_treatment,c30_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),c20_treatment x geocenter,interaction,6.35858157058018e-16,c20_treatment,geocenter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),c30_treatment x geocenter,interaction,2.82603625359119e-16,c30_treatment,geocenter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),higher-order,residual,0.00301602825026086,,,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre,main,0.026091822149665,centre,,tier2
Bangkok Basin (Lower Chao Phraya Basin),truncation,main,0.0102653131496845,truncation,,tier2
Bangkok Basin (Lower Chao Phraya Basin),filter,main,0.686814954746995,filter,,tier2
Bangkok Basin (Lower Chao Phraya Basin),gia_model,main,0.11396987120094,gia_model,,tier2
Bangkok Basin (Lower Chao Phraya Basin),c20_treatment,main,0.00732488834333962,c20_treatment,,tier2
Bangkok Basin (Lower Chao Phraya Basin),c30_treatment,main,2.55561625896533e-05,c30_treatment,,tier2
Bangkok Basin (Lower Chao Phraya Basin),geocenter,main,0.000128165965634736,geocenter,,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre x truncation,interaction,0.0172124234895374,centre,truncation,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre x filter,interaction,0.0750814426016441,centre,filter,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre x gia_model,interaction,1.0937462071679e-12,centre,gia_model,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre x c20_treatment,interaction,0.00238685859301548,centre,c20_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre x c30_treatment,interaction,1.49589775351445e-06,centre,c30_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),centre x geocenter,interaction,6.60765818155919e-07,centre,geocenter,tier2
Bangkok Basin (Lower Chao Phraya Basin),truncation x filter,interaction,0.0461872744839803,truncation,filter,tier2
Bangkok Basin (Lower Chao Phraya Basin),truncation x gia_model,interaction,2.2769917353794e-14,truncation,gia_model,tier2
Bangkok Basin (Lower Chao Phraya Basin),truncation x c20_treatment,interaction,1.78199921641481e-05,truncation,c20_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),truncation x c30_treatment,interaction,4.53148105798387e-08,truncation,c30_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),truncation x geocenter,interaction,4.04380326931769e-07,truncation,geocenter,tier2
Bangkok Basin (Lower Chao Phraya Basin),filter x gia_model,interaction,-3.87024090999332e-16,filter,gia_model,tier2
Bangkok Basin (Lower Chao Phraya Basin),filter x c20_treatment,interaction,1.99925138138863e-07,filter,c20_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),filter x c30_treatment,interaction,2.77671808806853e-09,filter,c30_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),filter x geocenter,interaction,3.90354388136972e-10,filter,geocenter,tier2
Bangkok Basin (Lower Chao Phraya Basin),gia_model x c20_treatment,interaction,-1.58236412205456e-16,gia_model,c20_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),gia_model x c30_treatment,interaction,1.85224633883113e-16,gia_model,c30_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),gia_model x geocenter,interaction,2.77354666775726e-16,gia_model,geocenter,tier2
Bangkok Basin (Lower Chao Phraya Basin),c20_treatment x c30_treatment,interaction,-3.17705109368623e-16,c20_treatment,c30_treatment,tier2
Bangkok Basin (Lower Chao Phraya Basin),c20_treatment x geocenter,interaction,-3.16283847803979e-16,c20_treatment,geocenter,tier2
Bangkok Basin (Lower Chao Phraya Basin),c30_treatment x geocenter,interaction,4.97638398257604e-18,c30_treatment,geocenter,tier2
Bangkok Basin (Lower Chao Phraya Basin),higher-order,residual,0.0144907996687746,,,tier2
Bari Doab (Indus Basin),centre,main,0.0322192797705515,centre,,tier2
Bari Doab (Indus Basin),truncation,main,0.00864940805751155,truncation,,tier2
Bari Doab (Indus Basin),filter,main,0.840517647661731,filter,,tier2
Bari Doab (Indus Basin),gia_model,main,0.0632860771138809,gia_model,,tier2
Bari Doab (Indus Basin),c20_treatment,main,0.000298071853414772,c20_treatment,,tier2
Bari Doab (Indus Basin),c30_treatment,main,2.49900552422876e-05,c30_treatment,,tier2
Bari Doab (Indus Basin),geocenter,main,0.0274006582095393,geocenter,,tier2
Bari Doab (Indus Basin),centre x truncation,interaction,9.44698884697187e-05,centre,truncation,tier2
Bari Doab (Indus Basin),centre x filter,interaction,0.0103542640403888,centre,filter,tier2
Bari Doab (Indus Basin),centre x gia_model,interaction,6.07646522235958e-13,centre,gia_model,tier2
Bari Doab (Indus Basin),centre x c20_treatment,interaction,9.71284955647458e-05,centre,c20_treatment,tier2
Bari Doab (Indus Basin),centre x c30_treatment,interaction,1.46276205102763e-06,centre,c30_treatment,tier2
Bari Doab (Indus Basin),centre x geocenter,interaction,1.6573064836935e-08,centre,geocenter,tier2
Bari Doab (Indus Basin),truncation x filter,interaction,0.0168227273778692,truncation,filter,tier2
Bari Doab (Indus Basin),truncation x gia_model,interaction,1.26900526742209e-14,truncation,gia_model,tier2
Bari Doab (Indus Basin),truncation x c20_treatment,interaction,7.25148948599062e-07,truncation,c20_treatment,tier2
Bari Doab (Indus Basin),truncation x c30_treatment,interaction,4.43110668178845e-08,truncation,c30_treatment,tier2
Bari Doab (Indus Basin),truncation x geocenter,interaction,5.67959678502712e-09,truncation,geocenter,tier2
Bari Doab (Indus Basin),filter x gia_model,interaction,-9.90004109336385e-17,filter,gia_model,tier2
Bari Doab (Indus Basin),filter x c20_treatment,interaction,8.14647191988958e-09,filter,c20_treatment,tier2
Bari Doab (Indus Basin),filter x c30_treatment,interaction,2.71669216005597e-09,filter,c30_treatment,tier2
Bari Doab (Indus Basin),filter x geocenter,interaction,8.34545267683534e-08,filter,geocenter,tier2
Bari Doab (Indus Basin),gia_model x c20_treatment,interaction,5.71291433832253e-16,gia_model,c20_treatment,tier2
Bari Doab (Indus Basin),gia_model x c30_treatment,interaction,8.59538724047062e-16,gia_model,c30_treatment,tier2
Bari Doab (Indus Basin),gia_model x geocenter,interaction,1.40400582778615e-15,gia_model,geocenter,tier2
Bari Doab (Indus Basin),c20_treatment x c30_treatment,interaction,-1.14961414685013e-17,c20_treatment,c30_treatment,tier2
Bari Doab (Indus Basin),c20_treatment x geocenter,interaction,1.41750588382255e-15,c20_treatment,geocenter,tier2
Bari Doab (Indus Basin),c30_treatment x geocenter,interaction,1.23750513667048e-15,c30_treatment,geocenter,tier2
Bari Doab (Indus Basin),higher-order,residual,0.000232928682792007,,,tier2
Barind Tract and Central Floodplains (Bengal Basin),centre,main,0.0181727299746464,centre,,tier2
Barind Tract and Central Floodplains (Bengal Basin),truncation,main,0.0137934862761429,truncation,,tier2
