centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
CSR,618,96,DDK8,Geruo_ICE5G_VM2,replaced,original,none,-0.588420402029756,31,0.588420402029756,0.588420402029756,179
JPL,605,96,DDK7,Peltier_ICE6G_D,original,replaced,GravIS,-0.588420402029756,31,0.588420402029756,0.588420402029756,180
JPL,607,96,DDK7,Peltier_ICE6G_D,original,original,GravIS,-0.588420402029756,31,0.588420402029756,0.588420402029756,181
CSR,620,96,DDK8,Geruo_ICE5G_VM2,original,replaced,none,-0.588217847674496,31,0.588217847674496,0.588217847674496,182
CSR,622,96,DDK8,Geruo_ICE5G_VM2,original,original,none,-0.588217847674496,31,0.588217847674496,0.588217847674496,183
GFZ,313,60,DDK8,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.588217847674496,31,0.588217847674496,0.588217847674496,184
GFZ,315,60,DDK8,Peltier_ICE6G_D,replaced,original,GravIS,-0.588217847674496,31,0.588217847674496,0.588217847674496,185
JPL,224,60,DDK5,none,replaced,replaced,none,-0.588015293319237,31,0.588015293319237,0.588015293319237,186
GFZ,283,60,DDK7,Peltier_ICE6G_D,replaced,original,GravIS,-0.587812738963977,31,0.587812738963977,0.587812738963977,187
GFZ,616,96,DDK8,Geruo_ICE5G_VM2,replaced,replaced,none,-0.587002521542937,31,0.587002521542937,0.587002521542937,188
GFZ,618,96,DDK8,Geruo_ICE5G_VM2,replaced,original,none,-0.587002521542937,31,0.587002521542937,0.587002521542937,189
JPL,549,96,DDK5,none,original,replaced,GravIS,-0.586597412832418,31,0.586597412832418,0.586597412832418,190
JPL,551,96,DDK5,none,original,original,GravIS,-0.586597412832418,31,0.586597412832418,0.586597412832418,191
JPL,601,96,DDK7,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.586394858477158,31,0.586394858477158,0.586394858477158,192
JPL,603,96,DDK7,Peltier_ICE6G_D,replaced,original,GravIS,-0.586394858477158,31,0.586394858477158,0.586394858477158,193
GFZ,305,60,DDK8,Caron_2018,replaced,replaced,GravIS,-0.586394858477158,31,0.586394858477158,0.586394858477158,194
GFZ,307,60,DDK8,Caron_2018,replaced,original,GravIS,-0.586394858477158,31,0.586394858477158,0.586394858477158,195
JPL,269,60,DDK7,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.586192304121898,31,0.586192304121898,0.586192304121898,196
GFZ,588,96,DDK7,Geruo_ICE5G_VM2,original,replaced,none,-0.586192304121898,31,0.586192304121898,0.586192304121898,197
GFZ,590,96,DDK7,Geruo_ICE5G_VM2,original,original,none,-0.586192304121898,31,0.586192304121898,0.586192304121898,198
JPL,637,96,DDK8,Peltier_ICE6G_D,original,replaced,GravIS,-0.585989749766639,31,0.585989749766639,0.585989749766639,199
JPL,639,96,DDK8,Peltier_ICE6G_D,original,original,GravIS,-0.585989749766639,31,0.585989749766639,0.585989749766639,200
CSR,5,60,G300,none,original,replaced,GravIS,-0.585584641056119,31,0.585584641056119,0.585584641056119,201
CSR,7,60,G300,none,original,original,GravIS,-0.585584641056119,31,0.585584641056119,0.585584641056119,202
